opponent,v3,Arkadiusz Jablonowski,0,1771610925406
Game,version,date,track,car,event,laptime [s],S1 [s],S2 [s],S3 [s],S4+ [s]
LMU,1.2,2026-02-20 18:08:45,Silverstone Grand Prix Circuit - ELMS,Ferrari AF Corse 2025 #50:LM (Hyper),Live,103.554,0,0,0
Tracklen [m],TotalLaps
5973.6,1
,
,
lapdistance [m],speed [m/s],throttle [%],brake [%],steer [%],gear [int],world_x [m],world_y [m],world_z [m]
236.9,63.19,55.1,0.0,-10.4,5,505.042,3.706,128.070
236.9,63.24,54.4,0.0,-9.0,5,505.083,3.700,125.542
251.4,63.48,50.8,0.0,-6.8,5,505.190,3.693,121.740
251.4,63.32,47.7,0.0,-6.7,5,505.289,3.684,119.210
251.4,63.05,37.4,0.0,-8.0,5,505.504,3.647,115.419
251.4,63.15,24.1,0.0,-10.0,5,505.685,3.637,112.897
265.1,62.70,11.0,6.3,-13.1,5,505.994,3.653,109.130
265.1,62.50,3.2,12.7,-14.3,5,506.235,3.625,106.639
265.1,62.07,0.0,12.7,-15.5,5,506.659,3.642,102.916
265.1,62.03,0.0,11.1,-15.5,5,506.977,3.629,100.452
278.4,61.81,0.0,6.3,-15.5,5,507.502,3.626,96.774
278.4,61.63,0.0,3.2,-15.1,5,507.879,3.603,94.337
278.4,61.22,0.0,3.2,-14.5,5,508.525,3.570,90.719
278.4,60.98,0.0,3.2,-14.3,5,509.003,3.555,88.318
291.1,60.73,0.0,9.5,-14.1,5,509.791,3.519,84.752
291.1,60.55,0.0,14.3,-14.3,5,510.355,3.493,82.391
291.1,59.96,0.0,22.2,-14.9,5,511.234,3.447,78.883
291.1,59.45,0.0,22.2,-14.9,5,512.193,3.389,75.437
303.5,59.16,0.0,17.5,-14.3,5,512.873,3.355,73.168
303.5,58.85,0.0,11.1,-13.3,5,513.954,3.300,69.799
303.5,58.64,0.0,11.1,-13.1,5,514.713,3.258,67.572
303.5,58.25,0.0,11.1,-12.5,5,515.912,3.207,64.274
315.6,58.05,0.0,11.1,-12.3,5,516.763,3.177,62.108
315.6,57.75,0.0,7.9,-12.3,5,518.098,3.140,58.901
315.6,57.51,0.0,12.7,-13.1,5,519.023,3.106,56.790
315.6,57.05,0.0,23.8,-13.5,5,520.464,3.069,53.671
327.6,56.67,0.0,25.4,-13.3,5,521.458,3.041,51.632
327.6,56.26,0.0,22.2,-11.7,5,523.005,2.999,48.620
327.6,55.98,0.0,19.0,-10.0,5,524.072,2.976,46.645
327.6,55.54,0.0,22.2,-7.2,5,525.716,2.939,43.730
339.9,55.04,0.0,25.4,-2.9,5,527.403,2.901,40.880
339.9,54.73,0.0,28.6,-0.4,5,528.553,2.871,39.010
339.9,54.22,0.0,38.1,2.3,5,530.292,2.839,36.238
339.9,53.82,0.0,42.9,5.7,5,531.440,2.815,34.404
352.3,53.20,0.0,50.8,9.0,5,533.116,2.772,31.664
352.3,52.76,0.0,50.8,9.2,5,534.193,2.748,29.838
352.3,52.12,0.0,54.0,7.8,5,535.753,2.706,27.102
352.3,51.53,0.0,58.7,7.8,5,536.752,2.678,25.285
365.2,50.95,0.0,60.3,10.0,5,538.186,2.633,22.566
365.2,50.30,0.0,60.3,12.1,5,539.097,2.600,20.751
365.2,49.91,0.0,55.6,16.2,5,540.426,2.564,18.049
365.2,49.65,0.0,49.2,17.6,5,541.286,2.528,16.255
377.4,48.88,0.0,46.0,20.4,5,542.529,2.492,13.591
377.4,48.04,0.0,42.9,21.1,5,543.327,2.472,11.827
377.4,47.74,0.0,34.9,22.5,5,544.488,2.451,9.197
377.4,47.33,0.0,30.2,23.5,5,545.597,2.427,6.567
389.9,46.99,0.0,25.4,24.5,5,546.305,2.399,4.816
389.9,46.52,0.0,22.2,25.8,5,547.299,2.352,2.192
389.9,46.22,0.0,20.6,26.6,5,547.923,2.324,0.444
389.9,45.82,0.0,20.6,27.2,5,548.809,2.297,-2.169
401.9,45.60,0.0,17.5,27.6,5,549.366,2.275,-3.909
401.9,45.18,0.0,14.3,28.6,5,550.145,2.241,-6.516
401.9,44.93,0.0,12.7,29.4,5,550.626,2.219,-8.250
401.9,44.49,0.0,19.0,31.7,5,551.297,2.186,-10.848
413.9,44.12,0.0,23.8,32.5,5,551.707,2.167,-12.573
413.9,43.64,0.0,28.6,32.9,4,552.251,2.141,-15.151
413.9,43.30,0.0,28.6,32.9,4,552.572,2.126,-16.859
413.9,42.81,0.0,25.4,32.9,4,552.995,2.106,-19.405
425.8,42.51,0.0,22.2,32.9,4,553.239,2.091,-21.094
425.8,42.18,0.0,15.9,32.7,4,553.544,2.073,-23.616
425.8,41.95,0.0,12.7,32.7,4,553.709,2.059,-25.288
425.8,41.77,91.9,3.2,32.7,0,553.901,2.034,-27.791
437.2,41.66,7.9,1.6,32.7,0,553.988,2.014,-29.458
437.2,41.41,0.0,1.6,32.7,3,554.057,1.989,-31.950
437.2,41.16,0.0,3.2,32.7,3,554.061,1.961,-34.431
437.2,41.02,0.0,3.2,32.7,3,554.028,1.936,-36.075
448.4,40.79,0.0,0.0,32.7,3,553.921,1.908,-38.524
448.4,40.69,0.0,0.0,32.7,3,553.811,1.884,-40.147
